model,class,rank,voxel_index,mni_x,mni_y,mni_z,mean_abs_shap
GNN,Forearm,8,423,-56.4,-21.9,38.3,0.3519531190395355
GNN,Forearm,9,2027,-21.2,-28.3,71.9,0.29033464193344116
GNN,Forearm,10,471,-56.4,-17.1,36.7,0.27074703574180603
GNN,Arm,1,300,-58.0,-20.3,39.9,3.3797860145568848
GNN,Arm,2,454,-56.4,-18.7,36.7,1.2800227403640747
GNN,Arm,3,471,-56.4,-17.1,36.7,0.9990940093994141
GNN,Arm,4,515,-56.4,-9.1,31.9,0.9237940907478333
GNN,Arm,5,189,-59.6,-17.1,33.5,0.5710870027542114
GNN,Arm,6,472,-56.4,-17.1,38.3,0.36843758821487427
GNN,Arm,7,72,-62.8,-12.3,36.7,0.3206583857536316
GNN,Arm,8,423,-56.4,-21.9,38.3,0.25327834486961365
GNN,Arm,9,390,-58.0,-9.1,38.3,0.19328933954238892
GNN,Arm,10,108,-61.2,-17.1,41.5,0.12945079803466797
GCN,Middle_Finger,1,127,-61.2,-12.3,33.5,0.015666816383600235
GCN,Middle_Finger,2,19,-64.4,-13.9,33.5,0.015353868715465069
GCN,Middle_Finger,3,13,-64.4,-15.5,33.5,0.014310745522379875
GCN,Middle_Finger,4,62,-62.8,-13.9,33.5,0.013910932466387749
GCN,Middle_Finger,5,421,-56.4,-21.9,35.1,0.01388741284608841
GCN,Middle_Finger,6,119,-61.2,-13.9,33.5,0.013771271333098412
GCN,Middle_Finger,7,331,-58.0,-17.1,33.5,0.013681613840162754
GCN,Middle_Finger,8,255,-59.6,-7.5,33.5,0.01303726527839899
GCN,Middle_Finger,9,222,-59.6,-12.3,33.5,0.012879992835223675
GCN,Middle_Finger,10,54,-62.8,-15.5,33.5,0.01281097810715437
GCN,Hand,1,314,-58.0,-18.7,33.5,0.007024160120636225
GCN,Hand,2,281,-58.0,-21.9,33.5,0.0062016937881708145
GCN,Hand,3,421,-56.4,-21.9,35.1,0.004335800185799599
GCN,Hand,4,127,-61.2,-12.3,33.5,0.004313265439122915
GCN,Hand,5,19,-64.4,-13.9,33.5,0.004178884904831648
GCN,Hand,6,13,-64.4,-15.5,33.5,0.0038395836018025875
GCN,Hand,7,119,-61.2,-13.9,33.5,0.003779872553423047
GCN,Hand,8,62,-62.8,-13.9,33.5,0.0037630158476531506
GCN,Hand,9,2184,-11.5,-31.5,75.1,0.0036858171224594116
GCN,Hand,10,222,-59.6,-12.3,33.5,0.0035443631932139397
GCN,Forearm,1,314,-58.0,-18.7,33.5,0.0031794884707778692
GCN,Forearm,2,281,-58.0,-21.9,33.5,0.002730177715420723
GCN,Forearm,3,127,-61.2,-12.3,33.5,0.0025359177961945534
GCN,Forearm,4,19,-64.4,-13.9,33.5,0.0023481587413698435
GCN,Forearm,5,421,-56.4,-21.9,35.1,0.0022362940944731236
GCN,Forearm,6,119,-61.2,-13.9,33.5,0.002221464877948165
GCN,Forearm,7,62,-62.8,-13.9,33.5,0.0021971811074763536
GCN,Forearm,8,13,-64.4,-15.5,33.5,0.0021670041605830193
GCN,Forearm,9,54,-62.8,-15.5,33.5,0.002036541234701872
GCN,Forearm,10,222,-59.6,-12.3,33.5,0.0020352303981781006
GCN,Arm,1,314,-58.0,-18.7,33.5,0.0036641089245676994
GCN,Arm,2,281,-58.0,-21.9,33.5,0.003518254030495882
GCN,Arm,3,2184,-11.5,-31.5,75.1,0.002975740935653448
GCN,Arm,4,421,-56.4,-21.9,35.1,0.002645852044224739
GCN,Arm,5,127,-61.2,-12.3,33.5,0.002517109038308263
GCN,Arm,6,19,-64.4,-13.9,33.5,0.0023834158200770617
GCN,Arm,7,119,-61.2,-13.9,33.5,0.002156777773052454
GCN,Arm,8,62,-62.8,-13.9,33.5,0.0021254681050777435
GCN,Arm,9,54,-62.8,-15.5,33.5,0.0020905733108520508
GCN,Arm,10,13,-64.4,-15.5,33.5,0.002038154285401106
