experiment_id,architecture,hidden1,hidden2,weight_decay,dropout_rate,pca_components,learning_rate,mean_accuracy,std_accuracy,macro_sensitivity,macro_specificity,macro_precision,macro_f1,weighted_sensitivity,weighted_specificity,weighted_precision,weighted_f1,per_class_sensitivity,per_class_specificity,per_class_precision,per_class_f1,total_epochs,training_time_s,model_file,confusion_matrix_file
11,1-layer,128,None,0.0001,0.3,None,0.001,0.38125,0.02072890493972127,0.4386160714285714,0.7949281876212023,0.41100015330312145,0.34525917257841104,0.38125,0.7984627504848093,0.38665726549963997,0.3031951726661971,"[0.625, 0.59375, 0.375, 0.1607142857142857]","[0.8897058823529411, 0.671875, 0.7142857142857143, 0.9038461538461539]","[0.6309523809523809, 0.3551117243235967, 0.18571428571428572, 0.4722222222222222]","[0.5595238095238095, 0.37549581839904417, 0.2387706855791962, 0.2072463768115942]",821,12.287173509597778,model_h128_wd0.0001_dr0.3.pt,model_h128_wd0.0001_dr0.3_confusion_matrix.npy
12,1-layer,128,None,0.0001,0.4,None,0.001,0.36874999999999997,0.03247595264191646,0.41889880952380953,0.7908817974305107,0.4012852840343966,0.3207001900535186,0.36875,0.7947771897220427,0.39459852020957503,0.2935554123300358,"[0.6666666666666667, 0.4375, 0.375, 0.19642857142857142]","[0.8382352941176471, 0.7421875, 0.6696428571428572, 0.9134615384615385]","[0.6128151260504202, 0.1627155172413793, 0.404610492845787, 0.42500000000000004]","[0.5405138339920948, 0.23310810810810811, 0.24711741460509934, 0.26206140350877194]",953,14.30353856086731,model_h128_wd0.0001_dr0.4.pt,model_h128_wd0.0001_dr0.4_confusion_matrix.npy
13,1-layer,128,None,0.001,0.2,None,0.001,0.38125000000000003,0.04800716092417881,0.44233630952380953,0.7916645624595992,0.40466661445279867,0.3592084228318842,0.38125,0.785408249838397,0.38604140559732664,0.3123515973921852,"[0.7916666666666667, 0.40625, 0.375, 0.19642857142857142]","[0.9117647058823529, 0.7109375, 0.6785714285714286, 0.8653846153846154]","[0.6687500000000001, 0.17857142857142855, 0.3991228070175438, 0.37222222222222223]","[0.7076118326118326, 0.23535353535353534, 0.2742959549411162, 0.21957236842105263]",841,17.08952236175537,model_h128_wd0.001_dr0.2.pt,model_h128_wd0.001_dr0.2_confusion_matrix.npy
14,1-layer,128,None,0.001,0.3,None,0.001,0.40625,0.0409839907768875,0.4382440476190476,0.7961111728345184,0.535453869047619,0.3644441703304344,0.40625,0.7781946913380737,0.5030357142857143,0.32147013360717985,"[0.5833333333333333, 0.4375, 0.5, 0.23214285714285715]","[0.9705882352941176, 0.7578125, 0.5714285714285714, 0.8846153846153846]","[0.8303571428571428, 0.3995535714285714, 0.4119047619047619, 0.5]","[0.6705128205128206, 0.27083333333333337, 0.2804828150572831, 0.23594771241830065]",877,15.715324401855469,model_h128_wd0.001_dr0.3.pt,model_h128_wd0.001_dr0.3_confusion_matrix.npy
15,1-layer,128,None,0.001,0.4,None,0.001,0.3875,0.057282196186948006,0.4542410714285714,0.798939227133161,0.41004493464052283,0.36237873237873236,0.3875,0.8082569085326439,0.3787303921568627,0.3121185481185481,"[0.6666666666666666, 0.65625, 0.3333333333333333, 0.1607142857142857]","[0.9338235294117647, 0.5703125, 0.7589285714285714, 0.9326923076923077]","[0.7, 0.22073529411764709, 0.4444444444444444, 0.275]","[0.6675324675324674, 0.32606060606060605, 0.2559218559218559, 0.2]",868,12.89574909210205,model_h128_wd0.001_dr0.4.pt,model_h128_wd0.001_dr0.4_confusion_matrix.npy
16,1-layer,128,None,0.01,0.2,None,0.001,0.38125,0.02724311839712921,0.42373511904761896,0.7921986102133162,0.3616670864252134,0.35173577931730104,0.38125,0.7875444408532644,0.32632071395809786,0.31594955467238073,"[0.5416666666666666, 0.59375, 0.29166666666666663, 0.26785714285714285]","[0.9558823529411765, 0.625, 0.7321428571428572, 0.8557692307692307]","[0.6970238095238095, 0.21876218323586744, 0.15588235294117647, 0.375]","[0.5967754467754468, 0.31825396825396823, 0.18774703557312253, 0.3041666666666667]",853,13.472213745117188,model_h128_wd0.01_dr0.2.pt,model_h128_wd0.01_dr0.2_confusion_matrix.npy
17,1-layer,128,None,0.01,0.3,None,0.001,0.375,0.03535533905932737,0.3921130952380952,0.7843785350678734,0.5043983817421317,0.3285147645475441,0.375,0.7625141402714932,0.47618106133731136,0.30349149348944965,"[0.4583333333333333, 0.375, 0.5208333333333333, 0.21428571428571427]","[0.9632352941176471, 0.765625, 0.5625, 0.8461538461538461]","[0.7595238095238095, 0.3839285714285714, 0.40965250965250966, 0.46448863636363635]","[0.5182040182040182, 0.2482895457033388, 0.31089882761615284, 0.23666666666666664]",838,12.505511999130249,model_h128_wd0.01_dr0.3.pt,model_h128_wd0.01_dr0.3_confusion_matrix.npy
18,1-layer,128,None,0.01,0.4,None,0.001,0.43125,0.04463392767839281,0.4642857142857143,0.8031648957659987,0.5051609848484848,0.41282209915657975,0.43125,0.7814095830639948,0.4815922619047619,0.37151830386968066,"[0.7083333333333334, 0.375, 0.41666666666666663, 0.3571428571428571]","[0.9779411764705882, 0.765625, 0.6517857142857143, 0.8173076923076923]","[0.90625, 0.19913419913419914, 0.2902597402597403, 0.625]","[0.7785714285714287, 0.24935064935064932, 0.2663150366529591, 0.3570512820512821]",842,13.253316879272461,model_h128_wd0.01_dr0.4.pt,model_h128_wd0.01_dr0.4_confusion_matrix.npy
19,1-layer,256,None,0.0001,0.2,None,0.001,0.38749999999999996,0.02795084971874738,0.44122023809523814,0.7971729557207499,0.49958468614718615,0.3602228102228102,0.3875,0.8011918228829993,0.49250838744588743,0.31900979650979655,"[0.625, 0.5625, 0.4166666666666667, 0.1607142857142857]","[0.9191176470588236, 0.65625, 0.6517857142857143, 0.9615384615384616]","[0.7559523809523809, 0.23287878787878785, 0.41575757575757577, 0.59375]","[0.6166666666666667, 0.32272727272727275, 0.2711942711942712, 0.2303030303030303]",853,17.629374504089355,model_h256_wd0.0001_dr0.2.pt,model_h256_wd0.0001_dr0.2_confusion_matrix.npy
20,1-layer,256,None,0.0001,0.3,None,0.001,0.40625,0.036975498644372606,0.4635416666666667,0.8014655381383322,0.5153612012987013,0.3670030133265427,0.40625,0.7996121525533291,0.490769751082251,0.3186671335200747,"[0.7083333333333334, 0.5, 0.5208333333333333, 0.125]","[0.9191176470588236, 0.71875, 0.6160714285714286, 0.9519230769230769]","[0.7476190476190476, 0.4, 0.4242424242424242, 0.4895833333333333]","[0.6818181818181818, 0.2828282828282829, 0.32698412698412693, 0.17638146167557933]",839,18.010586977005005,model_h256_wd0.0001_dr0.3.pt,model_h256_wd0.0001_dr0.3_confusion_matrix.npy
